station name,latitude,longitude,end freq,start freq
1 Ave & E 16 St,40.73221853,-73.98165557,1,0
12 Ave & W 40 St,40.76087502,-74.00277668,13,0
5 Corners Library,40.73496102,-74.05950308,1590,1913
6 Ave & Canal St,40.72243797,-74.00566443,1,0
6 Ave & W 33 St,40.74901271,-73.98848395,1,0
8 Ave & W 52 St,40.76370739,-73.9851615,1,0
Amsterdam Ave & W 125 St,40.813358,-73.956461,1,0
Amsterdam Ave & W 73 St,40.77966809,-73.98093045,2,0
Amsterdam Ave & W 79 St,40.7829391,-73.9786517,2,0
Astor Place,40.7192822,-74.07126188,3049,2996
Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,1,0
Baldwin at Montgomery,40.7236589,-74.0641943,2833,3137
Barrow St & Hudson St,40.73172428,-74.00674436,1,0
Bayard St & Baxter St,40.71602118,-73.99974372,1,0
Bergen Ave,40.72210379,-74.071455,2566,2719
Broadway & Battery Pl,40.70463334,-74.01361706,1,0
Broadway & E 14 St,40.73454567,-73.99074142,1,0
Broadway & Moylan Pl,40.8143256,-73.9590255,2,0
Broadway & W 56 St,40.7652654,-73.98192338,1,0
Brunswick & 6th,40.72601173,-74.05038893,6649,7970
Brunswick St,40.7241765,-74.0506564,6131,6518
Christ Hospital,40.73478582,-74.05044364,1342,1840
Christopher St & Greenwich St,40.73291553,-74.00711384,2,0
City Hall,40.7177325,-74.043845,8390,8098
Columbus Dr at Exchange Pl,40.71687,-74.03281,13597,11101
Columbus Drive,40.7183552,-74.03891444,7157,6992
Communipaw & Berry Lane,40.71435837,-74.06661093,1580,1525
Dey St,40.737711,-74.066921,1375,1048
Dixon Mills,40.72163014,-74.04996783,4785,5336
E 16 St & 5 Ave,40.73726186,-73.99238967,1,0
E 53 St & Madison Ave,40.7597108,-73.97402311,1,0
E 56 St & 3 Ave,40.75934501,-73.96759673,1,0
Essex Light Rail,40.7127742,-74.0364857,5107,4860
Fairmount Ave,40.72572614,-74.07195926,2269,2857
Front St & Maiden Ln,40.70530954,-74.00612572,1,0
Fulton St & Broadway,40.711066,-74.009447,4,0
Gansevoort St & Hudson St,40.7394482,-74.00507033,7,0
Glenwood Ave,40.72755147,-74.07106072,1380,1726
Grand St,40.71517768,-74.03768331,4942,4947
Grand St & Elizabeth St,40.718822,-73.99596,1,0
Greenwich Ave & Charles St,40.735238,-74.000271,4,0
Greenwich St & W Houston St,40.728846,-74.008591,2,0
Grove St PATH,40.71958612,-74.04311746,46247,36026
Hamilton Park,40.72759597,-74.04424731,17435,19483
Harborside,40.7192517,-74.034234,14924,14867
Heights Elevator,40.74871595,-74.0404433,1899,2057
Hilltop,40.7311689,-74.0575736,1722,2031
Hoboken Ave at Monmouth St,40.73520838,-74.04696375,2094,1857
Howard St & Centre St,40.71910537,-73.99973337,2,0
Hudson St & Reade St,40.71625008,-74.0091059,1,0
Jackson Square,40.71113,-74.0789,798,940
Jay St & Tech Pl,40.695065,-73.987167,1,0
Jay St & York St,40.70140317,-73.9867267,2,0
JC Medical Center,40.71653978,-74.04963791,5527,5421
JCBS Depot,40.70965083,-74.06860113,67,9
Jersey & 3rd,40.72333159,-74.04595256,6649,7154
Jersey & 6th St,40.72528911,-74.04557168,5349,7014
John St & William St,40.70862144,-74.00722156,1,0
Journal Square,40.73367,-74.0625,4852,5552
Lafayette Park,40.71346383,-74.06285852,2587,2623
Leonard Gordon Park,40.74590997,-74.05727148,1442,1560
Liberty Light Rail,40.7112423,-74.0557013,7294,6711
Liberty St & Broadway,40.70905623,-74.01043382,7,0
Lincoln Park,40.7246051,-74.07840595,2891,2455
Little West St & 1 Pl,40.70569254,-74.01677685,4,0
MacDougal St & Prince St,40.72710258,-74.00297088,1,0
Manila & 1st,40.72165072,-74.04288411,6172,6016
Marin Light Rail,40.71458404,-74.04281706,11719,11971
McGinley Square,40.72533993,-74.06762213,4167,6205
Mercer St & Spring St,40.72362738,-73.99949601,1,0
Monmouth and 6th,40.72568548,-74.04879034,5961,6747
Montgomery St,40.71942,-74.05099,3257,3300
Morningside Ave & W 123 St,40.81,-73.9551508,1,0
Morris Canal,40.71241882,-74.03852552,6774,7966
Murray St & Greenwich St,40.71485151,-74.01122332,1,0
Murray St & West St,40.7149787,-74.013012,2,0
Newark Ave,40.72152515,-74.04630454,8775,8513
Newport PATH,40.7272235,-74.0337589,14345,13769
Newport Pkwy,40.7287448,-74.0321082,9291,9215
North Moore St & Greenwich St,40.72019521,-74.01030064,3,0
Oakland Ave,40.7376037,-74.0524783,2346,3412
Old Fulton St,40.70277159,-73.99383605,1,0
Old Slip & Front St,40.7037992,-74.00838676,4,0
Paulus Hook,40.7141454,-74.0335519,7788,7188
Peck Slip & Front St,40.707873,-74.00167,1,0
Pershing Field,40.74267714,-74.05178863,3155,3402
Pershing Square North,40.751873,-73.977706,1,0
Pier 40 - Hudson River Park,40.72771408,-74.01129574,1,0
Riverview Park,40.7443187,-74.0439909,1487,1735
Sip Ave,40.7308971,-74.06391263,14763,15381
South End Ave & Liberty St,40.711512,-74.015756,5,0
South St & Gouverneur Ln,40.70355377,-74.00670227,1,0
Union St,40.7182113,-74.0836394,1121,870
Van Vorst Park,40.71848892,-74.04772663,5634,6652
Vesey Pl & River Terrace,40.7153379,-74.01658354,9,0
W 11 St & 6 Ave,40.73532427,-73.99800419,1,0
W 17 St & 8 Ave,40.74177603,-74.00149746,1,0
W 20 St & 11 Ave,40.746745,-74.007756,1,0
W 27 St & 7 Ave,40.746647,-73.993915,2,0
W 34 St & 11 Ave,40.75594159,-74.0021163,3,0
W 43 St & 6 Ave,40.75527307,-73.98316936,1,0
W 44 St & 5 Ave,40.75500254,-73.98014437,1,0
W Broadway & Spring Street,40.72494672,-74.00165856,1,0
Warren St,40.7211236,-74.03805095,8460,8398
Washington St,40.7242941,-74.0354826,8227,8073
West St & Chambers St,40.71754834,-74.01322069,3,0
West Thames St,40.70834698,-74.01713445,1,0
York St,40.71649,-74.04105,2811,2735
